Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.08      6.68     6.68 645934982     0.00     0.00  b2Vec2::b2Vec2(float, float)
                                                 <spontaneous>
[75]     0.1    0.02    0.00                 b2DynamicTree::GetFatAABB(int) const [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.1    0.02    0.00                 b2Body::GetType() const [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.1    0.02    0.00                 b2Body::IsBullet() const [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.1    0.01    0.01                 b2Mat22::b2Mat22() [78]
                0.01    0.00 2238928/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.1    0.01    0.01                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00  112019/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  112000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  112000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   56019/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   56000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00      43/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.1    0.01    0.01                 b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [80]
                0.00    0.00  242080/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  121112/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.0    0.01    0.00                 b2Rot::b2Rot(float) [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.0    0.01    0.00                 b2Contact::GetNext() [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.0    0.01    0.00                 b2World::ClearForces() [83]
                0.00    0.00  643000/5873886     b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.0    0.01    0.00                 b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   84000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   42000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   42000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   21000/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   21000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.0    0.01    0.00                 b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   72000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   36000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   36000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   18000/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   18000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00   18000/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.0    0.01    0.00                 b2SimplexVertex::b2SimplexVertex() [86]
                0.00    0.00  545004/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.0    0.01    0.00                 b2SeparationFunction::FindMinSeparation(int*, int*, float) const [87]
                0.00    0.00   57808/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.0    0.01    0.00                 b2World::DrawDebugData() [88]
                0.00    0.00  643000/4035612     b2Body::GetTransform() const [117]
                0.00    0.00  642000/655000      b2Color::b2Color(float, float, float) [197]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.0    0.01    0.00                 b2Island::SolveTOI(b2TimeStep const&, int, int) [89]
                0.00    0.00    5972/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00    2986/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
-----------------------------------------------
                0.01    0.00 1331033/1331033     b2Contact::Update(b2ContactListener*) [36]
[90]     0.0    0.01    0.00 1331033         b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.0    0.01    0.00                 b2CollideEdgeAndPolygon(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.0    0.01    0.00                 b2GrowableStack<int, 256>::Pop() [92]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.0    0.01    0.00                 b2StackAllocator::Free(void*) [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.0    0.01    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.0    0.01    0.00                 b2Body::GetFixtureList() [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.0    0.01    0.00                 b2Joint::GetBodyA() [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.0    0.01    0.00                 b2BroadPhase::TestOverlap(int, int) const [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.0    0.01    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.0    0.01    0.00                 b2PolygonShape::Validate() const [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.0    0.01    0.00                 b2DistanceProxy::GetSupport(b2Vec2 const&) const [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.0    0.01    0.00                 b2DistanceProxy::GetVertex(int) const [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.0    0.01    0.00                 b2Contact::GetWorldManifold(b2WorldManifold*) const [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.0    0.01    0.00                 b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&)) [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.0    0.00    0.01                 b2Body::SynchronizeTransform() [104]
                0.01    0.00  469224/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.0    0.00    0.01                 b2Body::SynchronizeFixtures() [105]
                0.00    0.00  462958/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[106]    0.0    0.00    0.01                 b2Simplex::GetClosestPoint() const [106]
                0.00    0.00  291320/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  145660/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.0    0.00    0.01                 b2EPCollider::ComputePolygonSeparation() [107]
                0.00    0.00  381912/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  127304/41260163     float b2Min<float>(float, float) [24]
                0.00    0.00   31826/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.0    0.00    0.01                 b2Simplex::Solve3() [108]
                0.00    0.00  255744/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  340992/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                0.00    0.00       1/1044735     cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00  118818/1044735     b2DynamicTree::InsertLeaf(int) [141]
                0.00    0.01  925916/1044735     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [56]
[109]    0.0    0.00    0.01 1044735         b2AABB::b2AABB() [109]
                0.01    0.00 2089470/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.0    0.01    0.00                 b2Sweep::b2Sweep() [110]
                0.00    0.00  702135/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.0    0.00    0.01                 b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00   96000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   96000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   96000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   48000/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   48000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00   48000/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.0    0.01    0.00                 b2ReferenceFace::b2ReferenceFace() [112]
                0.00    0.00  159130/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.0    0.00    0.01                 main [113]
                0.00    0.01       1/1           cs296::dominos_t::create() [114]
                0.00    0.00    1000/1000        cs296::base_sim_t::step(cs296::settings_t*) [155]
                0.00    0.00    1000/2000        b2World::GetProfile() const [201]
                0.00    0.00       1/1           cs296::base_sim_t::get_world() [217]
-----------------------------------------------
                0.00    0.01       1/1           main [113]
[114]    0.0    0.00    0.01       1         cs296::dominos_t::create() [114]
                0.00    0.01       1/1           cs296::dominos_t::dominos_t() [115]
-----------------------------------------------
                0.00    0.01       1/1           cs296::dominos_t::create() [114]
[115]    0.0    0.00    0.01       1         cs296::dominos_t::dominos_t() [115]
                0.00    0.00     642/643         b2BodyDef::b2BodyDef() [116]
                0.00    0.00       1/1           cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00     694/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00      20/659         b2PolygonShape::b2PolygonShape() [157]
                0.00    0.00       7/7           b2RevoluteJointDef::b2RevoluteJointDef() [176]
                0.00    0.00       6/6           b2WeldJointDef::b2WeldJointDef() [177]
                0.00    0.00      26/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       2/4           b2CircleShape::b2CircleShape() [181]
                0.00    0.00       2/645934982     b2Vec2::b2Vec2(float, float) [2]
                0.00    0.00       1/2           b2EdgeShape::b2EdgeShape() [182]
                0.00    0.00      18/19          b2FixtureDef::b2FixtureDef() [207]
                0.00    0.00      16/16          b2PolygonShape::~b2PolygonShape() [209]
                0.00    0.00       2/2           b2CircleShape::~b2CircleShape() [211]
                0.00    0.00       1/1           b2EdgeShape::~b2EdgeShape() [215]
-----------------------------------------------
                0.00    0.00       1/643         cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00     642/643         cs296::dominos_t::dominos_t() [115]
[116]    0.0    0.01    0.00     643         b2BodyDef::b2BodyDef() [116]
                0.00    0.00    1286/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00    1286/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00   26000/4035612     b2World::DrawJoint(b2Joint*) [160]
                0.00    0.00  643000/4035612     b2World::DrawDebugData() [88]
                0.00    0.00 3366612/4035612     b2Contact::Update(b2ContactListener*) [36]
[117]    0.0    0.01    0.00 4035612         b2Body::GetTransform() const [117]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.0    0.01    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [118]
-----------------------------------------------
                                                 <spontaneous>
[119]    0.0    0.01    0.00                 b2MotorJoint::~b2MotorJoint() [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.0    0.01    0.00                 b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*) [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.0    0.01    0.00                 b2AABB::RayCast(b2RayCastOutput*, b2RayCastInput const&) const [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.0    0.01    0.00                 b2Vec2::IsValid() const [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.0    0.01    0.00                 b2World::IsLocked() const [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.0    0.01    0.00                 b2Contact::IsTouching() const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.0    0.01    0.00                 b2Contact::GetChildIndexA() const [125]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.0    0.01    0.00                 b2Contact::GetChildIndexB() const [126]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.0    0.01    0.00                 std::__lg(int) [127]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.0    0.00    0.00                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [128]
                0.00    0.00  115236/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   57618/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   57618/144091499     operator*(float, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.0    0.00    0.00                 b2Simplex::GetSearchDirection() const [129]
                0.00    0.00  145660/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  145660/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                0.00    0.00    2000/2000        b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
[130]    0.0    0.00    0.00    2000         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [130]
                0.00    0.00   66000/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00   66000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   64000/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.0    0.00    0.00                 b2EPCollider::ComputeEdgeSeparation() [131]
                0.00    0.00  132472/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.0    0.00    0.00                 b2Distance(b2Vec2 const&, b2Vec2 const&) [132]
                0.00    0.00  122441/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.0    0.00    0.00                 b2TempPolygon::b2TempPolygon() [133]
                0.00    0.00  529888/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[134]    0.0    0.00    0.00                 b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00   35136/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   26352/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   35136/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00    8784/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00    8784/41260163     float b2Min<float>(float, float) [24]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.0    0.00    0.00                 b2DistanceProxy::b2DistanceProxy() [135]
                0.00    0.00  472664/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.0    0.00    0.00                 b2EPCollider::b2EPCollider() [136]
                0.00    0.00  364298/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.0    0.00    0.00                 b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [137]
                0.00    0.00   62029/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.0    0.00    0.00                 b2Simplex::Solve2() [138]
                0.00    0.00   60556/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.0    0.00    0.00                 b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [139]
                0.00    0.00  118166/35556446     float b2Max<float>(float, float) [27]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.0    0.00    0.00                 b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00   14000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   14000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   14000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00    7000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00    7000/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.0    0.00    0.00                 b2DynamicTree::InsertLeaf(int) [141]
                0.00    0.00  118818/1044735     b2AABB::b2AABB() [109]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.0    0.00    0.00                 b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00   12000/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   12000/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   12000/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00    6000/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00    6000/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.0    0.00    0.00                 b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00    1274/463384      b2Vec2::operator*=(float) [44]
                0.00    0.00    5100/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00    5100/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00    3187/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00    2550/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00    2550/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00     637/645934982     b2Vec2::b2Vec2(float, float) [2]
                0.00    0.00     637/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00     637/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.0    0.00    0.00                 b2DistanceOutput::b2DistanceOutput() [144]
                0.00    0.00  121112/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.0    0.00    0.00                 b2SeparationFunction::b2SeparationFunction() [145]
                0.00    0.00  115236/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.0    0.00    0.00                 b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [146]
                0.00    0.00   10050/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00    6030/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00    2010/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00    2010/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[147]    0.0    0.00    0.00                 b2EdgeAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [147]
                0.00    0.00   66236/6788844     b2Fixture::GetShape() [62]
-----------------------------------------------
                                                 <spontaneous>
[148]    0.0    0.00    0.00                 b2ContactManager::AddPair(void*, void*) [148]
                0.00    0.00   45046/22254408     b2Fixture::GetBody() [48]
                0.00    0.00   19341/8109683     b2Contact::GetFixtureA() [58]
                0.00    0.00   19341/8109683     b2Contact::GetFixtureB() [72]
                0.00    0.00    6302/491212      b2Body::SetAwake(bool) [169]
-----------------------------------------------
                                                 <spontaneous>
[149]    0.0    0.00    0.00                 b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [149]
                0.00    0.00    3438/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00    3438/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00    3438/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00    3438/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[150]    0.0    0.00    0.00                 b2Mat33::Solve22(b2Vec2 const&) const [150]
                0.00    0.00   55995/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[151]    0.0    0.00    0.00                 b2Body::ResetMassData() [151]
                0.00    0.00     639/463384      b2Vec2::operator*=(float) [44]
                0.00    0.00    1278/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00     639/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00     639/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     641/5873886     b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[152]    0.0    0.00    0.00                 b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [152]
                0.00    0.00    4022/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00    8044/14397842     b2Vec2::Set(float, float) [38]
-----------------------------------------------
                                                 <spontaneous>
[153]    0.0    0.00    0.00                 b2Sweep::Advance(float) [153]
                0.00    0.00    2992/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00    2992/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00    2992/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[154]    0.0    0.00    0.00                 b2Mat22::Solve(b2Vec2 const&) const [154]
                0.00    0.00   21000/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00    1000/1000        main [113]
[155]    0.0    0.00    0.00    1000         cs296::base_sim_t::step(cs296::settings_t*) [155]
                0.00    0.00    8000/35556446     float b2Max<float>(float, float) [27]
                0.00    0.00    1000/1000        b2World::SetWarmStarting(bool) [203]
                0.00    0.00    1000/1000        b2World::SetContinuousPhysics(bool) [204]
                0.00    0.00    1000/1000        b2World::SetSubStepping(bool) [202]
                0.00    0.00    1000/2000        b2World::GetProfile() const [201]
-----------------------------------------------
                                                 <spontaneous>
[156]    0.0    0.00    0.00                 b2Body::Advance(float) [156]
                0.00    0.00    2992/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00      20/659         cs296::dominos_t::dominos_t() [115]
                0.00    0.00     639/659         b2PolygonShape::Clone(b2BlockAllocator*) const [158]
[157]    0.0    0.00    0.00     659         b2PolygonShape::b2PolygonShape() [157]
                0.00    0.00   11203/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00     659/5873886     b2Vec2::SetZero() [59]
                0.00    0.00     659/665         b2Shape::b2Shape() [205]
-----------------------------------------------
                                                 <spontaneous>
[158]    0.0    0.00    0.00                 b2PolygonShape::Clone(b2BlockAllocator*) const [158]
                0.00    0.00     639/659         b2PolygonShape::b2PolygonShape() [157]
-----------------------------------------------
                                                 <spontaneous>
[159]    0.0    0.00    0.00                 b2DynamicTree::CreateProxy(b2AABB const&, void*) [159]
                0.00    0.00     642/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00     642/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     642/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[160]    0.0    0.00    0.00                 b2World::DrawJoint(b2Joint*) [160]
                0.00    0.00   26000/4035612     b2Body::GetTransform() const [117]
                0.00    0.00   39000/40000       debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [198]
                0.00    0.00   13000/655000      b2Color::b2Color(float, float, float) [197]
-----------------------------------------------
                                                 <spontaneous>
[161]    0.0    0.00    0.00                 b2EdgeAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [161]
                0.00    0.00    4020/6788844     b2Fixture::GetShape() [62]
-----------------------------------------------
                                                 <spontaneous>
[162]    0.0    0.00    0.00                 b2Manifold::b2Manifold() [162]
                0.00    0.00    6302/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[163]    0.0    0.00    0.00                 b2ManifoldPoint::b2ManifoldPoint() [163]
                0.00    0.00    6302/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       1/1           cs296::dominos_t::dominos_t() [115]
[164]    0.0    0.00    0.00       1         cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00    2048/2048        cs296::contact_point_t::contact_point_t() [165]
                0.00    0.00       1/643         b2BodyDef::b2BodyDef() [116]
                0.00    0.00       1/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00       1/1044735     b2AABB::b2AABB() [109]
                0.00    0.00       1/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       1/2           b2ContactListener::b2ContactListener() [212]
                0.00    0.00       1/1           debug_draw_t::debug_draw_t() [216]
-----------------------------------------------
                0.00    0.00    2048/2048        cs296::base_sim_t::base_sim_t() [164]
[165]    0.0    0.00    0.00    2048         cs296::contact_point_t::contact_point_t() [165]
                0.00    0.00    4096/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[166]    0.0    0.00    0.00                 b2Body::b2Body(b2BodyDef const*, b2World*) [166]
                0.00    0.00    1286/5873886     b2Vec2::SetZero() [59]
                0.00    0.00    1286/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[167]    0.0    0.00    0.00                 b2ContactManager::Destroy(b2Contact*) [167]
                0.00    0.00    1612/22254408     b2Fixture::GetBody() [48]
                0.00    0.00     806/8109683     b2Contact::GetFixtureA() [58]
                0.00    0.00     806/8109683     b2Contact::GetFixtureB() [72]
-----------------------------------------------
                                                 <spontaneous>
[168]    0.0    0.00    0.00                 b2SeparationFunction::Evaluate(int, int, float) const [168]
                0.00    0.00     543/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00     646/491212      b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.00    0.00    2986/491212      b2World::SolveTOI(b2TimeStep const&) [23]
                0.00    0.00    6302/491212      b2ContactManager::AddPair(void*, void*) [148]
                0.00    0.00   15046/491212      b2Contact::Update(b2ContactListener*) [36]
                0.00    0.00  466232/491212      b2World::Solve(b2TimeStep const&) [32]
[169]    0.0    0.00    0.00  491212         b2Body::SetAwake(bool) [169]
                0.00    0.00    1292/5873886     b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[170]    0.0    0.00    0.00                 b2Simplex::GetMetric() const [170]
                0.00    0.00     288/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     144/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[171]    0.0    0.00    0.00                 b2PolygonShape::Set(b2Vec2 const*, int) [171]
                0.00    0.00     190/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00      82/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00      48/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[172]    0.0    0.00    0.00                 ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00       6/463384      b2Vec2::operator*=(float) [44]
                0.00    0.00      52/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
